pair,volume
BTC_BTS,14125.051736919999
BTC_DASH,44978.32755212
BTC_DOGE,6353.376674949999
BTC_LTC,17610.809989089994
BTC_NXT,11830.860205609999
BTC_STR,1015.1159430899999
BTC_XEM,5242.15100304
BTC_XMR,652003.1507428099
BTC_XRP,9390.530162690002
USDT_BTC,23488.901820900006
BTC_ETH,232634.74905903003
BTC_SC,2676.97669929
BTC_DCR,1073.4044799899998
BTC_LSK,22644.497542519995
BTC_STEEM,9807.97866947
BTC_ETC,238055.80950404998
BTC_ARDR,0.0
BTC_ZEC,0.0
BTC_ZRX,0.0
BTC_CVC,0.0
BTC_OMG,0.0
BTC_GAS,0.0
BTC_STORJ,0.0
BTC_EOS,0.0
BTC_SNT,0.0
BTC_KNC,0.0
BTC_BAT,0.0
BTC_LOOM,0.0
BTC_QTUM,0.0
USDC_BTC,0.0
BTC_MANA,0.0
BTC_BNT,0.0
BTC_BCHSV,0.0
BTC_FOAM,0.0
BTC_NMR,0.0
BTC_POLY,0.0
BTC_LPT,0.0
BTC_ATOM,0.0
BTC_TRX,0.0
BTC_LINK,0.0
BTC_XTZ,0.0
PAX_BTC,0.0
USDJ_BTC,0.0
BTC_SNX,0.0
BTC_MATIC,0.0
BTC_MKR,0.0
DAI_BTC,0.0
BTC_NEO,0.0
BTC_SWFTC,0.0
BTC_AVA,0.0
BTC_CHR,0.0
BNB_BTC,0.0
BUSD_BTC,0.0
BTC_MDT,0.0
BTC_REN,0.0
BTC_LRC,0.0
BTC_WRX,0.0
BTC_SXP,0.0
BTC_STPT,0.0
BTC_SWAP,0.0
BTC_EXE,0.0
BTC_SWINGBY,0.0
BTC_FCT2,0.0
BTC_FUND,0.0
BTC_HGET,0.0
BTC_AKRO,0.0
BTC_REPV2,0.0
BTC_AMP,0.0
BTC_SAND,0.0
BTC_AAVE,0.0
BTC_BID,0.0
BTC_CVT,0.0
BTC_INJ,0.0
BTC_BCH,0.0
BTC_SENSO,0.0
BTC_GLM,0.0
BTC_WBTC,0.0
BTC_FRONT,0.0
BTC_FARM,0.0
BTC_DOT,0.0
BTC_TRU,0.0
TUSD_BTC,0.0
BTC_FIL,0.0
BTC_XYM,0.0
BTC_KLV,0.0
BTC_YFX,0.0
BTC_SRM,0.0
BTC_AVAX,0.0
BTC_SOL,0.0
BTC_ADA,0.0
BTC_FTM,0.0
